DATE,Temperature,Atmospheric Pressure,Wind Speed,Wind Direction,Event Type
2025-03-22 20:14:06.828000,18.558059319722343,1011.7187526277112,8.05227637036387,339.3122792330084,Hurricane
2025-03-22 20:14:07.828000,18.53829237214638,1011.5876824779764,7.976596142823975,340.175252461227,Hurricane
2025-03-22 20:14:08.828000,18.41209428280577,1011.4829321733808,7.921192425050728,340.7245251207722,Hurricane
2025-03-22 20:14:09.828000,18.19247226436825,1011.374053398527,7.770966965538373,339.77797637014345,Hurricane
2025-03-22 20:14:10.828000,18.107996193543457,1011.3441821788576,7.745552081396861,340.1581967976596,Hurricane
2025-03-22 20:14:11.828000,18.097449493518287,1011.166032354366,7.713179286447789,340.9247579997221,Hurricane
2025-03-22 20:14:12.828000,18.18155845776096,1011.1503012950856,7.973927037204842,340.81526596277,Hurricane
2025-03-22 20:14:13.828000,18.220943146020147,1011.195209132792,8.096295075646596,339.8874915526217,Hurricane
2025-03-22 20:14:14.828000,18.33346342512912,1011.3200460673448,8.131801979771746,340.66685826147267,Hurricane
2025-03-22 20:14:15.828000,18.24528612515489,1011.4130580637463,8.267791443083844,340.69796022127366,Hurricane
2025-03-22 20:14:16.828000,18.38275789311337,1011.236202530801,8.258186113315034,341.0394936356128,Hurricane
2025-03-22 20:14:17.828000,18.41010879416303,1011.3070756219502,8.180609946854402,340.26075006176245,Hurricane
2025-03-22 20:14:18.828000,18.41758272399833,1011.1215784674891,8.283028334562987,340.46559227348325,Hurricane
2025-03-22 20:14:19.828000,18.391729339170176,1011.0748200360384,8.11067514617349,340.88306224804035,Hurricane
2025-03-22 20:14:20.829000,18.3761735562928,1011.1463716678664,8.088222024378101,340.15432195978053,Hurricane
2025-03-22 20:14:21.828000,18.37903131665623,1011.1975474457988,8.03995296328097,339.5372222189526,Hurricane
2025-03-22 20:14:22.828000,18.409151753897078,1011.1090582614208,8.01346018788774,339.06036847941675,Hurricane
